,City,Country Code,Lat,Lng,Max Temp(F),Humidity(%),Cloudiness (%),Wind Speed (mph)
58,AMUNTAI,ID,-1.83,115.32,75.01,98,68,1.92
59,MARSH HARBOUR,BS,28.17,-75.65,80.77,100,56,2.04
61,QAANAAQ,GL,78.55,-83.61,31.72,99,56,5.84
62,KAHULUI,US,33.78,-147.13,68,94,1,3.36
64,OLINDA,BR,-10.45,-24.94,78.8,57,0,2.24
65,ALBANY,AU,-69.6,113.83,51.97,96,36,7.74
66,SAINT-PHILIPPE,RE,-34.25,62.15,75.2,64,20,12.75
67,BUSSELTON,AU,-86.15,83.07,61.51,100,88,8.97
68,PUNTA ARENAS,CL,-69.66,-81.7,35.6,100,75,36.91
69,BLUFF,NZ,-55.77,163.95,44.14,100,0,3.27
70,BERINGOVSKIY,RU,56.32,178.7,41.35,100,76,4.61
71,SAINT GEORGE,BM,29.75,-50.9,80.6,69,75,18.34
72,BUSSELTON,AU,-84.13,77.67,61.51,100,88,8.97
73,VIRGINIA BEACH,US,36.59,-73.82,84.2,66,40,3.36
74,UPERNAVIK,GL,84.38,-50.79,32.98,94,8,5.73
75,PANGNIRTUNG,CA,62.64,-60.75,35.6,100,20,9.17
76,BARROW,US,77.57,-148.31,77,83,1,11.41
77,MERSIN,TR,36.64,34.67,82.4,61,40,13.87
78,RIKITEA,PF,-33.37,-120.56,72.49,100,92,11.88
79,DIKSON,RU,77.65,87.45,34.33,90,0,23.06
80,BUSSELTON,AU,-34.4,95.36,61.51,100,88,8.97
81,PISHIN,PK,31.06,67.36,75.64,10,0,5.95
82,KAVIENG,PG,4.28,154.72,82.21,100,12,2.93
83,MITSAMIOULI,KM,-6.39,47.53,86,62,20,6.93
84,UST-OMCHUG,RU,61.46,148.85,42.34,80,8,2.37
85,NARSAQ,GL,75.31,-69.02,55.4,28,75,35.57
86,BRADFORD,US,42.18,-78.77,80.6,74,90,6.93
87,ALBANY,AU,-53.08,118.06,51.97,96,36,7.74
88,BLUFF,NZ,-56.46,165.23,44.14,100,0,3.27
89,EAST LONDON,ZA,-52.92,41.54,64.4,48,0,5.82
90,ALBANY,AU,-51.91,108.25,51.97,96,36,7.74
91,BARROW,US,89.32,-144.77,77,83,1,11.41
92,MUROS,ES,42.72,-10.67,84.2,58,20,5.82
93,SAINT GEORGE,BM,30.09,-55.98,80.6,69,75,18.34
94,AGBOR,NG,6.03,6.43,79.87,84,80,11.32
95,TIKSI,RU,76.04,122.98,55.39,71,64,3.49
96,ATAMBUA,ID,-10.09,127.18,77.62,100,24,10.09
97,USHUAIA,AR,-72.19,-30.8,37.4,69,75,4.7
98,BARCELOS,BR,-0.49,-61.11,70.51,100,92,3.6
99,SAN PATRICIO,MX,3.96,-112.29,80.6,74,90,5.82
100,KETCHIKAN,US,55.02,-131.58,60.8,77,1,10.29
101,USHUAIA,AR,-60.27,-64.94,37.4,69,75,4.7
102,BAY ROBERTS,CA,38.75,-52.04,53.6,93,90,4.7
103,KHATANGA,RU,71.36,107.12,56.65,64,56,19.82
105,MELILLI,IT,37.21,15.07,80.6,54,40,6.93
106,GIROV,RO,46.92,26.53,84.2,54,20,8.05
108,BREDASDORP,ZA,-86.17,12.88,69.8,35,0,4.7
109,TASIILAQ,GL,66.27,-37.36,39.2,80,75,8.05
110,ALBANY,AU,-49.92,122.35,51.97,96,36,7.74
112,LUDERITZ,NA,-26.08,15.9,61.69,73,0,15.79
113,CARNARVON,AU,-25.21,111.58,65.92,95,0,17.13
114,BATHURST,CA,46.74,-65.78,73.4,38,90,16.11
115,FLINDERS,AU,-34.73,129.53,46.4,93,44,4.7
117,KOMSOMOLSKIY,RU,75.34,175.23,53.05,94,56,5.17
118,USHUAIA,AR,-74.72,-53.65,37.4,69,75,4.7
119,RAFAELA,AR,-31.43,-61.1,65.56,76,92,6.62
123,HERMANUS,ZA,-59.16,4.22,56.65,71,0,2.04
125,NAZE,JP,20.13,139.74,81.22,92,76,23.85
126,HITHADHOO,MV,-3.88,80.55,84.37,100,24,8.19
128,BLUFF,NZ,-68.8,160.72,44.14,100,0,3.27
131,OMARURU,NA,-21.36,15.77,74.92,22,0,3.94
132,MAYYA,RU,61.27,131.07,62.6,59,0,4.47
133,OKHOTSK,RU,60.01,142.64,44.41,98,92,9.53
134,HERMANUS,ZA,-77.74,7.29,56.65,71,0,2.04
135,ATUONA,PF,6.06,-138.68,80.95,99,12,11.99
136,AHIPARA,NZ,-35.19,168.42,53.32,100,48,7.07
137,NARSAQ,GL,86.42,-62.33,55.4,28,75,35.57
139,SHUMSKIY,RU,53.9,99.36,64.57,70,68,2.93
140,HITHADHOO,MV,-16.08,82.68,84.37,100,24,8.19
142,BUSSELTON,AU,-43.95,107.76,61.51,100,88,8.97
143,VAINI,TO,-70.23,-168.58,73.4,94,20,6.93
145,RIKITEA,PF,-49.83,-121.01,72.49,100,92,11.88
146,SAMARAI,PG,-12.51,151.48,76.45,100,100,19.71
147,HERMANUS,ZA,-65.52,10.42,56.65,71,0,2.04
148,ALOFI,NU,-30.2,-167.9,75.2,83,88,4.7
149,HAMI,CN,42.62,92.91,76.99,51,0,4.38
150,GWADAR,PK,25.2,62.57,89.32,79,76,12.1
151,RIBEIRA GRANDE,PT,32.47,-36.05,71.6,94,40,9.17
152,PUNTA ARENAS,CL,-85.31,-120.88,35.6,100,75,36.91
153,BELOHA,MG,-28.37,43.08,67.27,66,0,7.18
154,PILAR,PH,10.95,130.18,80.6,88,40,3.36
155,LA PAZ,MX,24.45,-110.06,62.6,82,20,12.75
156,NARSAQ,GL,75.71,-67.79,55.4,28,75,35.57
157,SRI AMAN,MY,-0.21,112.21,78.8,88,32,2.24
158,VAINI,TO,-81.06,-179.23,73.4,94,20,6.93
159,PUNTA ARENAS,CL,-82.53,-121.96,35.6,100,75,36.91
160,ALEKSANDROV GAY,RU,50.13,49.13,89.86,24,32,17.36
161,LUFILUFI,WS,-5.34,-166.93,73.4,100,20,4.7
163,LOWESTOFT,GB,52.28,1.92,77,60,75,11.41
164,CHERSKIY,RU,71.75,162.51,44.41,75,0,2.59
165,MAR DEL PLATA,AR,-61.29,-28.81,49.45,57,68,27.09
166,TEGULDET,RU,58.37,87.45,69.97,42,24,6.73
167,CHOKURDAKH,RU,83.79,145.68,39.19,77,0,11.21
168,LONGYEARBYEN,SJ,81.91,14.68,46.4,70,20,18.34
169,KATESH,TZ,-4.41,35.13,73.12,49,0,11.21
170,ZHOUCHENG,CN,24.52,102.09,70.78,95,80,5.28
171,ATUONA,PF,0.67,-146.41,80.95,99,12,11.99
173,LOMPOC,US,31.29,-125.11,60.8,100,90,6.93
174,UMM KADDADAH,SD,12.86,27.62,88.33,50,48,9.64
175,KURYK,KZ,42.49,51.5,83.47,37,92,11.21
176,QAANAAQ,GL,73.32,-75.94,31.72,99,56,5.84
177,SARANGANI,PH,5.16,126.76,83.38,100,24,4.72
178,TIKSI,RU,88.13,130.05,55.39,71,64,3.49
179,GREYTOWN,ZA,-29.12,30.5,62.41,56,0,3.15
180,PUERTO AYORA,EC,-16.44,-96.51,77,69,20,13.87
183,ZHANGYE,CN,38.55,99.51,64.21,63,0,8.41
184,THOMPSON,CA,62.27,-95.76,59,58,75,5.82
185,KATSUURA,JP,19.32,149.33,71.6,94,75,8.05
186,HITHADHOO,MV,-4.12,67.97,84.37,100,24,8.19
187,CAYENNE,GF,7.25,-49.54,84.2,74,64,8.05
188,MANAKARA,MG,-23.18,51.49,72.67,95,0,7.18
190,MAYOR PABLO LAGERENZA,PY,-20.79,-60.35,85.54,42,0,10.2
191,BUTARITARI,KI,25.31,179.0,84.55,100,92,11.65
192,NARANJAL,PY,-26.26,-55.31,66.2,77,0,5.82
194,RIKITEA,PF,-60.64,-139.06,72.49,100,92,11.88
195,USHUAIA,AR,-87.92,-49.67,37.4,69,75,4.7
196,RIKITEA,PF,-39.09,-113.9,72.49,100,92,11.88
197,CHENGDE,CN,40.58,118.89,59.35,57,0,3.71
198,BELOHA,MG,-30.13,39.69,67.27,66,0,7.18
199,MOUNT GAMBIER,AU,-50.43,132.95,43.87,84,80,4.72
200,BLUFF,NZ,-64.58,171.46,44.14,100,0,3.27
201,USHUAIA,AR,-75.7,-36.56,37.4,69,75,4.7
202,SAO JOAO DA BARRA,BR,-32.99,-24.75,77,61,40,4.7
204,ZHOUCHENG,CN,24.34,102.26,70.78,95,80,5.28
205,PACIFIC GROVE,US,27.23,-135.69,57.2,87,90,4.7
206,ALBANY,AU,-65.48,104.98,51.97,96,36,7.74
207,CABO SAN LUCAS,MX,12.79,-121.06,77,47,20,6.93
208,GORNOPRAVDINSK,RU,63.48,69.41,65.11,64,88,6.29
209,KHATANGA,RU,74.06,103.17,56.65,64,56,19.82
211,LUDERITZ,NA,-28.02,7.84,61.69,73,0,15.79
213,BUSSELTON,AU,-44.01,98.94,61.51,100,88,8.97
214,SAINT-LOUIS,RE,-23.96,53.21,73.4,69,20,9.17
215,BUSSELTON,AU,-46.35,86.09,61.51,100,88,8.97
216,KHATANGA,RU,70.15,107.56,56.65,64,56,19.82
217,SAN RAFAEL DEL SUR,NI,10.37,-88.24,80.6,78,75,4.7
218,USHUAIA,AR,-77.36,-24.58,37.4,69,75,4.7
219,LEBU,CL,-33.38,-87.37,47.74,100,0,3.83
220,TEYA,RU,61.16,90.43,66.55,47,0,4.94
221,QAANAAQ,GL,87.09,-96.99,31.72,99,56,5.84
222,PORT LINCOLN,AU,-33.99,136.36,48.01,100,0,4.16
223,POUM,NC,-18.49,164.24,71.59,100,0,13.56
224,KARANGASEM,ID,-8.06,115.8,81.58,100,44,10.42
225,PUNTA ARENAS,CL,-85.34,-98.93,35.6,100,75,36.91
226,USHUAIA,AR,-72.69,-56.4,37.4,69,75,4.7
228,CARNARVON,AU,-26.6,108.54,65.92,95,0,17.13
229,KAPAA,US,18.98,-170.37,73.4,94,1,3.36
230,BROKEN HILL,AU,-29.89,143.51,32.17,76,0,2.71
231,ALBANY,AU,-49.86,116.74,51.97,96,36,7.74
232,JAMESTOWN,SH,-11.08,-3.31,70.51,100,64,12.44
233,BARRANCA,PE,-5.07,-76.75,60.7,100,88,3.27
234,KAPAA,US,10.49,-168.41,73.4,94,1,3.36
235,ALBANY,AU,-37.35,119.4,51.97,96,36,7.74
236,ATUONA,PF,10.02,-129.41,80.95,99,12,11.99
237,KLOULKLUBED,PW,3.62,135.51,78.8,94,90,7.29
239,NUMAZU,JP,35.02,138.75,71.6,94,75,2.24
240,UPERNAVIK,GL,77.92,-57.28,32.98,94,8,5.73
241,HERMANUS,ZA,-72.06,3.68,56.65,71,0,2.04
245,PORT ELIZABETH,ZA,-55.42,27.56,64.4,59,0,10.29
246,MANGAI,CD,-2.72,20.16,92.47,29,0,2.59
248,COAHUAYANA,MX,17.37,-104.77,68.44,90,76,2.15
249,PUNTA ARENAS,CL,-68.13,-79.04,35.6,100,75,36.91
252,CLYDE RIVER,CA,67.7,-68.89,35.6,93,75,6.93
254,KLAKSVIK,FO,72.35,-4.78,50,71,92,14.99
255,MAR DEL PLATA,AR,-50.06,-43.52,49.45,57,68,27.09
256,SAINT GEORGE,BM,26.28,-57.49,80.6,69,75,18.34
257,HAMBANTOTA,LK,-4.9,87.05,82.21,95,56,17.58
258,RIKITEA,PF,-37.1,-119.23,72.49,100,92,11.88
259,BRAE,GB,63.12,-0.59,55.4,54,20,16.11
260,BUTARITARI,KI,1.95,168.25,84.55,100,92,11.65
261,TAKORADI,GH,-3.16,-0.32,80.41,92,48,13
262,ATUONA,PF,1.45,-146.26,80.95,99,12,11.99
263,CULLEREDO,ES,43.19,-8.41,84.2,73,0,9.17
264,FORT NELSON,CA,60.18,-126.7,60.8,67,75,4.7
265,JAMESTOWN,SH,-22.45,-5.35,70.51,100,64,12.44
266,BATHSHEBA,BB,20.41,-47.09,84.2,62,20,19.46
267,YULARA,AU,-25.41,124.7,48.2,45,0,8.05
268,PUNTA ARENAS,CL,-62.19,-110.34,35.6,100,75,36.91
269,VAINI,TO,-58.7,-171.14,73.4,94,20,6.93
270,JUTAI,BR,-5.5,-68.37,85.18,73,12,4.94
272,PORT LINCOLN,AU,-33.99,136.39,48.01,100,0,4.16
273,USHUAIA,AR,-83.34,-87.58,37.4,69,75,4.7
274,BLUFF,NZ,-88.73,156.1,44.14,100,0,3.27
275,MAHEBOURG,MU,-47.56,78.91,77,78,75,5.82
276,RORVIK,NO,65.61,9.88,50,87,75,12.75
277,GAMBELA,ET,8.5,33.6,66.91,95,92,2.93
278,RIKITEA,PF,-57.01,-115.18,72.49,100,92,11.88
279,GOUNDI,TD,9.46,17.47,75.28,94,92,8.75
280,WAGGA WAGGA,AU,-35.49,147.63,41,100,64,2.71
281,ANDENES,NO,71.68,16.33,50,87,75,6.93
282,USHUAIA,AR,-77.43,-79.22,37.4,69,75,4.7
283,YINGCHENG,CN,24.22,113.93,77,83,0,4.47
284,BUSSELTON,AU,-85.31,88.4,61.51,100,88,8.97
285,ALBANY,AU,-81.43,112.76,51.97,96,36,7.74
286,LUDERITZ,NA,-29.86,7.68,61.69,73,0,15.79
287,DIKSON,RU,76.19,85.01,34.33,90,0,23.06
288,CHANNEL-PORT AUX BASQUES,CA,47.5,-58.73,46.39,98,0,13.56
289,SUOYARVI,RU,62.19,32.89,63.67,40,8,14.79
290,PUNTA ARENAS,CL,-77.61,-93.75,35.6,100,75,36.91
291,BARROW,US,88.62,-149.88,77,83,1,11.41
293,PORT HARDY,CA,46.31,-136.54,51.8,100,90,2.24
294,MOCTEZUMA,MX,29.69,-109.07,77.98,21,0,2.93
295,RIKITEA,PF,-42.31,-136.83,72.49,100,92,11.88
296,TRAVERSE CITY,US,45.24,-85.43,71.6,56,1,2.15
297,ROEBOURNE,AU,-24.44,118.83,62.14,50,0,7.85
298,ATUONA,PF,-10.07,-121.53,80.95,99,12,11.99
299,JALU,LY,23.48,25.31,95.53,27,20,8.41
300,IQALUIT,CA,61.97,-67.16,39.2,69,75,26.4
301,ABHA,SA,19.63,42.86,89.6,11,40,17.22
302,BREDASDORP,ZA,-83.96,21.21,69.8,35,0,4.7
303,ATUONA,PF,-6.21,-117.44,80.95,99,12,11.99
304,DIKSON,RU,85.07,80.78,34.33,90,0,23.06
305,TSURUGI,JP,36.41,136.57,71.6,94,75,8.05
306,DINGLE,IE,47.36,-15.36,56.02,98,0,15.79
307,SALDANHA,ZA,-36.1,10.06,62.6,72,0,2.24
308,ZUBTSOV,RU,56.02,34.85,69.25,42,0,22.28
310,YEPPOON,AU,-22.24,151.93,48.2,76,0,5.73
311,HERMANUS,ZA,-86.9,-12.04,56.65,71,0,2.04
312,BREDASDORP,ZA,-57.11,17.11,69.8,35,0,4.7
313,ATUONA,PF,-3.31,-145.52,80.95,99,12,11.99
314,RIBEIRA GRANDE,PT,36.76,-35.84,71.6,94,40,9.17
315,ESPERANCE,AU,-35.59,125.68,45.76,86,32,2.71
316,KANGAATSIAQ,GL,68.5,-54.27,36.76,92,12,8.97
317,PONTA DELGADA,PT,34.74,-27.16,73.4,83,20,16.11
318,MAHEBOURG,MU,-52.16,77.63,77,78,75,5.82
319,CASTRO,CL,-46.72,-103.59,44.23,100,92,11.43
320,BUTARITARI,KI,11.32,168.13,84.55,100,92,11.65
321,MAHEBOURG,MU,-35.23,68.11,77,78,75,5.82
322,BUSSELTON,AU,-42.06,111.41,61.51,100,88,8.97
323,BUD,NO,67.73,4.42,53.6,62,75,14.99
324,NARDARAN,AZ,41.23,50.15,80.6,39,0,14.99
325,SANTA ISABEL DO RIO NEGRO,BR,-0.59,-64.48,79.06,86,64,4.38
326,PUNTA ARENAS,CL,-72.43,-104.67,35.6,100,75,36.91
327,OLINDA,BR,-9.24,-28.23,78.8,57,0,2.24
329,LONGYEARBYEN,SJ,85.4,17.54,46.4,70,20,18.34
330,PEVEK,RU,79.03,171.24,34.06,76,0,5.95
331,USHUAIA,AR,-69.55,-75.66,37.4,69,75,4.7
332,BARROW,US,89.02,-150.32,77,83,1,11.41
333,PORT ELIZABETH,ZA,-67.28,31.5,64.4,59,0,10.29
334,SEYBAPLAYA,MX,19.88,-91.51,78.8,88,75,11.41
335,IRANSHAHR,IR,26.65,61.51,111.2,10,0,11.41
336,YARMOUTH,CA,43.54,-66.84,64.4,55,75,8.05
337,JAMESTOWN,SH,-25.93,-13.09,70.51,100,64,12.44
338,USHUAIA,AR,-56.96,-69.27,37.4,69,75,4.7
339,KETCHIKAN,US,49.04,-136.1,60.8,77,1,10.29
340,KIJANG,ID,2.58,106.05,84.73,89,36,9.08
342,BELOHA,MG,-33.76,41.91,67.27,66,0,7.18
343,BARROW,US,84.42,-160.93,77,83,1,11.41
344,VAINI,TO,-76.48,-179.23,73.4,94,20,6.93
345,MORRO BAY,US,33.36,-124.07,55.4,100,90,17.22
346,SHACHE,CN,37.54,76.04,66.37,74,44,6.51
347,BUSSELTON,AU,-51.42,96.44,61.51,100,88,8.97
348,KAPAA,US,28.83,-159.04,73.4,94,1,3.36
349,TALTAL,CL,-24.91,-69.03,59.62,85,0,2.93
350,LONGYEARBYEN,SJ,74.17,17.08,46.4,70,20,18.34
351,MANOKWARI,ID,1.6,132.96,81.13,100,44,4.16
352,ATUONA,PF,-2.56,-118.02,80.95,99,12,11.99
353,PUERTO AYORA,EC,-9.14,-111.18,77,69,20,13.87
354,PALANA,RU,59.43,159.61,36.67,95,24,1.36
355,BUTARITARI,KI,10.52,162.55,84.55,100,92,11.65
356,MANAKARA,MG,-22.04,48.91,72.67,95,0,7.18
357,NAMIBE,AO,-11.59,7.66,69.79,100,0,6.85
358,VAINI,TO,-68.9,-174.79,73.4,94,20,6.93
359,ALBANY,AU,-60.14,112.39,51.97,96,36,7.74
360,PORT ELIZABETH,ZA,-74.82,34.27,64.4,59,0,10.29
361,RIBEIRA GRANDE,PT,36.99,-35.9,71.6,94,40,9.17
362,EAST LONDON,ZA,-62.52,50.58,64.4,48,0,5.82
363,NORDEN,DE,54.94,6.72,77,53,40,16.11
364,RIVERTON,US,42.92,-108.05,57.2,76,90,5.82
365,SASKYLAKH,RU,72.74,116.69,60.34,68,64,13.33
366,BRAE,GB,67.45,-0.67,55.4,54,20,16.11
367,RIBEIRA GRANDE,PT,32.58,-42.07,71.6,94,40,9.17
368,ARRAIAL DO CABO,BR,-37.83,-26.83,75.2,73,0,11.41
369,UPERNAVIK,GL,81.97,-56.58,32.98,94,8,5.73
370,CASTRO,CL,-47.58,-108.34,44.23,100,92,11.43
371,YELLOWKNIFE,CA,89.8,-108.01,69.8,56,20,2.24
373,CANBERRA,AU,-35.32,149.15,32,93,64,2.24
374,BREDASDORP,ZA,-47.94,17.9,69.8,35,0,4.7
375,CASTRO,CL,-48.37,-83.18,44.23,100,92,11.43
376,ALBANY,AU,-36.62,119.37,51.97,96,36,7.74
377,ELBRUS,RU,43.27,42.65,42.97,91,68,1.25
378,JAMESTOWN,SH,-30.16,-10.84,70.51,100,64,12.44
379,ALGIERS,DZ,36.43,3.54,80.6,65,20,12.75
380,WESTPORT,NZ,-37.69,164.72,36.58,100,0,4.61
381,CAPE TOWN,ZA,-47.58,-8.49,62.6,63,20,6.93
382,CHARTERS TOWERS,AU,-20.4,144.75,43.6,74,0,5.95
383,PEVEK,RU,83.23,171.12,34.06,76,0,5.95
384,PORT ELIZABETH,ZA,-56.16,31.15,64.4,59,0,10.29
385,CHANDBALI,IN,20.8,87.63,89.95,89,12,16.13
386,MANGROL,IN,18.65,67.83,76.09,88,56,5.5
387,KRUISFONTEIN,ZA,-50.93,24.83,61.87,76,0,3.71
388,BOROGONTSY,RU,64.3,131.46,62.59,49,8,6.4
389,SAINT-JOSEPH,RE,-33.34,56.12,73.4,69,20,9.17
390,KODIAK,US,58.03,-155.51,78.8,83,90,10.29
391,CAYENNE,GF,5.15,-51.2,84.2,74,64,8.05
392,NAZE,JP,23.23,136.81,81.22,92,76,23.85
393,RIKITEA,PF,-17.33,-123.49,72.49,100,92,11.88
394,JAMESTOWN,SH,-23.09,-11.59,70.51,100,64,12.44
395,CIDREIRA,BR,-57.17,-20.53,70.69,82,0,5.5
396,MAR DEL PLATA,AR,-51.48,-51.36,49.45,57,68,27.09
397,PONTA DO SOL,PT,32.23,-18.33,71.6,68,75,14.99
398,HOBART,AU,-47.15,152.42,44.6,87,75,6.93
400,VAINI,TO,-45.16,-177.21,73.4,94,20,6.93
401,GAROWE,SO,9.39,48.55,93.01,29,12,13.78
402,KAPAA,US,27.31,-170.78,73.4,94,1,3.36
403,PORT ELIZABETH,ZA,-50.49,27.31,64.4,59,0,10.29
404,CAPE TOWN,ZA,-61.77,-3.89,62.6,63,20,6.93
405,SASKYLAKH,RU,85.69,112.98,60.34,68,64,13.33
406,HILO,US,19.49,-151.52,73.4,93,90,7.18
407,DALBANDIN,PK,28.46,63.87,97.42,9,0,10.87
408,BREDASDORP,ZA,-54.31,22.62,69.8,35,0,4.7
409,ZHELEZNODOROZHNYY,RU,63.5,50.97,71.6,30,0,20.13
410,SAN CRISTOBAL,EC,-3.66,-86.49,62.5,98,48,1.59
411,CAPE TOWN,ZA,-66.21,-3.83,62.6,63,20,6.93
412,HOBART,AU,-45.42,155.41,44.6,87,75,6.93
413,ENERGETICHESKIY,KZ,43.94,77.16,71.6,49,75,4.47
414,VAINI,TO,-41.63,-177.37,73.4,94,20,6.93
416,PUNTA ARENAS,CL,-88.5,-99.71,35.6,100,75,36.91
417,PETROPAVLOVSK-KAMCHATSKIY,RU,51.68,162.42,48.2,93,76,4.47
418,USHUAIA,AR,-76.74,-58.83,37.4,69,75,4.7
419,ATUONA,PF,1.49,-130.41,80.95,99,12,11.99
421,SINNAMARY,GF,14.98,-48.26,82.93,90,88,10.98
422,SAO JOAO DA BARRA,BR,-24.31,-35.67,77,61,40,4.7
423,ATUONA,PF,-3.19,-132.65,80.95,99,12,11.99
424,PUNTA ARENAS,CL,-62.46,-103.64,35.6,100,75,36.91
425,URUACU,BR,-14.1,-49.13,78.97,52,0,13.78
426,BAMBOUS VIRIEUX,MU,-37.81,80.84,77,78,75,5.82
427,SITKA,US,53.16,-141.91,72.22,82,68,6.4
428,TORBAY,CA,36.17,-46.6,53.6,93,90,4.7
429,JEGA,NG,11.67,4.92,89.32,70,36,12.1
430,ALBANY,AU,-51.88,114.28,51.97,96,36,7.74
431,PORT ALFRED,ZA,-87.95,48.86,63.94,79,0,2.93
434,LEBU,CL,-30.18,-103.98,47.74,100,0,3.83
435,USHUAIA,AR,-74.26,-56.87,37.4,69,75,4.7
436,CAPE TOWN,ZA,-40.07,11.28,62.6,63,20,6.93
437,BLUFF,NZ,-80.23,166.25,44.14,100,0,3.27
438,UPERNAVIK,GL,89.92,-43.57,32.98,94,8,5.73
439,BUSSELTON,AU,-79.58,76.75,61.51,100,88,8.97
440,HASAKI,JP,32.56,149.96,66.2,100,75,5.82
441,BARROW,US,82.85,-153.51,77,83,1,11.41
443,POKHARA,NP,29.91,84.02,64.84,67,20,3.49
444,LUENA,AO,-12.51,19.98,75.1,31,8,5.5
445,USHUAIA,AR,-81.04,-64.36,37.4,69,75,4.7
447,PAAMIUT,GL,55.91,-50.61,41.08,90,92,9.98
448,KHOLTOSON,RU,49.9,103.52,55.57,95,88,1.59
449,TONGREN,CN,27.97,108.86,71.41,99,92,4.38
450,BONFIM,BR,2.71,-59.24,71.6,56,20,10.29
451,JAMESTOWN,SH,-13.66,-1.64,70.51,100,64,12.44
452,BARROW,US,85.6,-143.76,77,83,1,11.41
453,QUATRE COCOS,MU,-17.22,69.94,77,78,75,5.82
454,MAR DEL PLATA,AR,-45.79,-53.53,49.45,57,68,27.09
455,TALTAL,CL,-24.89,-77.23,59.62,85,0,2.93
456,POCHUTLA,MX,11.13,-96.59,77,78,75,6.93
457,SAO JOAO DA BARRA,BR,-23.27,-39.54,77,61,40,4.7
458,RIO GRANDE,BR,-32.34,-50.49,64.4,72,0,8.05
459,RECONQUISTA,AR,-30.07,-60.16,72.49,66,0,11.43
460,DEN HELDER,NL,54.55,4.37,60.8,87,90,23.04
461,BATAGAY,RU,65.68,135.87,62.59,77,32,1.59
462,PROVIDENIYA,RU,47.62,-174.35,37.3,100,36,9.64
463,PALERMO,CO,2.92,-75.44,78.8,57,75,3.36
465,MARGATE,ZA,-33.85,32.98,68.53,78,24,11.32
